MeSH Disease Term	PubMed occurrence
Peptic Ulcer Hemorrhage	2238
Hemoptysis	2231
Rickets	2230
Peripheral Nervous System Neoplasms	2224
Compartment Syndromes	2222
Intracranial Arteriosclerosis	2219
Tuberculosis, Lymph Node	2214
Dementia, Vascular	2209
Urethritis	2207
Hand Injuries	2206
Puberty, Precocious	2202
Lymphangioma	2199
Osteochondritis	2197
Ocular Hypertension	2197
Critical Illness	2194
Malignant Hyperthermia	2193
Neuroma, Acoustic	2189
Protein Deficiency	2188
Conjunctivitis	2185
Disease	2183
Hydatidiform Mole	2182
Premenstrual Syndrome	2181
Ovarian Cysts	2180
Pelvic Inflammatory Disease	2178
Legionnaires' Disease	2177
Dengue	2177
Cholera	2171
Motor Neuron Disease	2169
Snake Bites	2169
Cholangitis	2162
Hernia, Inguinal	2162
Hypertriglyceridemia	2149
Fractures, Spontaneous	2144
Liver Failure	2143
Gastrointestinal Stromal Tumors	2140
Spasm	2138
Gastric Outlet Obstruction	2134
Klebsiella Infections	2124
Vaginal Neoplasms	2123
Magnesium Deficiency	2122
Penile Neoplasms	2119
Addison Disease	2119
Neuroendocrine Tumors	2117
Insect Bites and Stings	2114
Peritoneal Diseases	2113
Esophagitis, Peptic	2108
Cerebellar Ataxia	2108
Corneal Ulcer	2106
Chorea	2104
Ureteral Diseases	2104
Infarction, Middle Cerebral Artery	2103
Hypoxia-Ischemia, Brain	2102
Testicular Diseases	2102
Vocal Cord Paralysis	2101
Respiratory Syncytial Virus Infections	2100
Multiple Sclerosis, Relapsing-Remitting	2100
Hyperparathyroidism, Secondary	2094
Osteomalacia	2090
Placenta Diseases	2089
Trichinellosis	2086
Reflex Sympathetic Dystrophy	2085
Glucosephosphate Dehydrogenase Deficiency	2085
Vitamin A Deficiency	2078
Nose Diseases	2074
Coronary Restenosis	2072
Stomatitis	2068
Jaw Diseases	2064
Pneumonia, Viral	2062
Spinal Dysraphism	2058
Herpes Genitalis	2055
Trypanosomiasis, African	2055
Pharyngeal Diseases	2048
Radius Fractures	2045
Lymphadenitis	2041
Ascariasis	2040
Arthritis, Reactive	2038
Liver Failure, Acute	2037
Purpura	2035
Tinea	2031
Tooth Fractures	2026
Epidermal Cyst	2017
Toxoplasmosis, Animal	2015
Splenic Neoplasms	2014
Systemic Inflammatory Response Syndrome	2011
Asbestosis	2008
Stuttering	2006
Warts	2000
Sciatica	1998
Mediastinal Diseases	1997
Hyperhomocysteinemia	1996
Mesenteric Vascular Occlusion	1993
AIDS Dementia Complex	1991
Colorectal Neoplasms, Hereditary Nonpolyposis	1991
Brain Concussion	1990
Giardiasis	1989
Malnutrition	1989
Foodborne Diseases	1989
Endotoxemia	1988
Splenomegaly	1985
Labyrinth Diseases	1983
Tracheal Stenosis	1967
Tetralogy of Fallot	1967
Tooth Abnormalities	1966
Color Vision Defects	1963
Thyroid Nodule	1961
Uveal Neoplasms	1961
Familial Mediterranean Fever	1957
Thyroiditis	1956
Dermoid Cyst	1942
Arthritis, Psoriatic	1942
Takayasu Arteritis	1942
Germinoma	1939
Charcot-Marie-Tooth Disease	1937
Rotavirus Infections	1932
Jejunal Diseases	1932
Scleroderma, Localized	1931
Pancreatic Cyst	1925
Hyperventilation	1925
Dyslipidemias	1920
Asphyxia	1918
Fetal Membranes, Premature Rupture	1915
Hypergammaglobulinemia	1914
Cysticercosis	1912
Uterine Cervical Diseases	1912
Simian Acquired Immunodeficiency Syndrome	1910
Odontogenic Tumors	1892
Rabies	1890
Varicose Ulcer	1887
Cranial Nerve Neoplasms	1886
Sweat Gland Neoplasms	1886
Pseudotumor Cerebri	1885
Blood Platelet Disorders	1885
Shock, Traumatic	1879
Mandibular Fractures	1878
Ankle Injuries	1876
Macular Edema	1874
Agricultural Workers' Diseases	1867
Hemophilia B	1859
Osteolysis	1857
Candidiasis, Oral	1856
Diphtheria	1852
Carbon Tetrachloride Poisoning	1851
Leptospirosis	1849
Pleurisy	1849
Pulmonary Valve Stenosis	1847
Alveolitis, Extrinsic Allergic	1846
Bronchial Spasm	1840
Coxsackievirus Infections	1839
Urethral Diseases	1835
Mucormycosis	1833
Pemphigoid, Bullous	1832
Foreign-Body Reaction	1830
Exophthalmos	1828
Tendinopathy	1826
Fabry Disease	1826
Paranasal Sinus Diseases	1825
Retinopathy of Prematurity	1824
Severe Acute Respiratory Syndrome	1818
Insulinoma	1818
Pulmonary Atelectasis	1818
Ichthyosis	1812
Hypoparathyroidism	1812
Solitary Pulmonary Nodule	1811
Coronary Aneurysm	1808
Arteritis	1804
Ureteral Neoplasms	1801
Muscular Dystrophy, Duchenne	1800
Retinal Vein Occlusion	1798
Blood Protein Disorders	1798
Psychomotor Disorders	1794
Goat Diseases	1793
Clostridium Infections	1790
Shoulder Dislocation	1789
Lipidoses	1786
Bone Cysts	1783
Tooth Diseases	1779
Hemorrhagic Disorders	1779
Lung Abscess	1773
Hemoglobinuria, Paroxysmal	1772
Calculi	1772
Pneumonia, Pneumococcal	1770
Urologic Neoplasms	1770
Translocation, Genetic	1770
Lymphoma, T-Cell, Cutaneous	1765
Ependymoma	1763
Liposarcoma	1761
Hernia	1761
Ectodermal Dysplasia	1756
Hemoglobinopathies	1754
Hyperkinesis	1753
Adenocarcinoma, Papillary	1751
Cardiac Complexes, Premature	1747
Pituitary Diseases	1744
Prion Diseases	1743
Ventricular Dysfunction, Right	1743
Angiomatosis	1742
Klinefelter Syndrome	1741
Hirsutism	1740
Cecal Diseases	1738
Cholestasis, Extrahepatic	1736
Neuritis	1735
Wrist Injuries	1735
Contracture	1734
Femoral Neck Fractures	1734
Fetal Alcohol Syndrome	1733
Liver Abscess, Amebic	1730
Pneumonia, Mycoplasma	1729
Nocardia Infections	1728
Syringomyelia	1728
Meckel Diverticulum	1725
Renal Osteodystrophy	1723
Strongyloidiasis	1722
Hyperprolactinemia	1721
Cryoglobulinemia	1721
Adenoma, Pleomorphic	1720
Cryptosporidiosis	1719
Ataxia Telangiectasia	1718
Whiplash Injuries	1718
Thoracic Diseases	1717
Exanthema	1715
Folic Acid Deficiency	1714
Sleep Deprivation	1712
Guillain-Barre Syndrome	1711
Vulvar Diseases	1710
Parvoviridae Infections	1707
Prenatal Exposure Delayed Effects	1703
Granulomatous Disease, Chronic	1700
Radiculopathy	1699
Eclampsia	1696
Epidermal Necrolysis, Toxic	1696
Xeroderma Pigmentosum	1695
Osteoarthritis, Hip	1694
Humeral Fractures	1694
Pneumonia, Aspiration	1693
Epilepsy, Absence	1693
Varicocele	1692
Tooth, Impacted	1688
Deficiency Diseases	1687
Candidiasis, Vulvovaginal	1684
Conjunctivitis, Allergic	1684
Retinitis	1683
Eyelid Neoplasms	1682
Penile Diseases	1681
Vestibular Diseases	1680
Adenoviridae Infections	1679
Cystadenoma	1679
Mammary Neoplasms, Animal	1677
Scrapie	1677
Finger Injuries	1671
Yersinia Infections	1664
Brain Death	1661
Budd-Chiari Syndrome	1657
Urinary Bladder Neck Obstruction	1657
Retinal Hemorrhage	1655
Nematode Infections	1653
Alveolar Bone Loss	1653
Splenic Rupture	1651
Mitochondrial Diseases	1647
Hyperemia	1644
Corneal Dystrophies, Hereditary	1642
Fanconi Anemia	1642
Head Injuries, Closed	1641
Mercury Poisoning	1640
Carcinoma, Pancreatic Ductal	1637
Morphine Dependence	1631
Paraganglioma	1628
Abortion, Veterinary	1625
Hematoma, Epidural, Cranial	1624
Leukopenia	1624
Scalp Dermatoses	1624
Neoplastic Cells, Circulating	1621
Anus Diseases	1619
Thyrotoxicosis	1619
Meningitis, Meningococcal	1618
Sarcoidosis, Pulmonary	1617
Vaginal Diseases	1616
Water-Electrolyte Imbalance	1615
Astigmatism	1614
Chondroma	1613
Stomatitis, Aphthous	1613
Embolism, Fat	1613
Epilepsy, Tonic-Clonic	1612
Tracheal Diseases	1611
Tuberculosis, Gastrointestinal	1610
Myxedema	1610
Muscular Atrophy, Spinal	1609
Sensation Disorders	1607
Duodenal Obstruction	1606
Mucocele	1605
Transposition of Great Vessels	1605
Craniofacial Abnormalities	1604
Uterine Cervical Dysplasia	1603
Neck Pain	1603
Ocular Motility Disorders	1602
Uveitis, Anterior	1602
Narcolepsy	1600
Oropharyngeal Neoplasms	1598
Hyperlipoproteinemias	1598
Hirschsprung Disease	1596
Olfaction Disorders	1594
Lipodystrophy	1592
Mycobacterium avium-intracellulare Infection	1591
Polycystic Kidney, Autosomal Dominant	1591
Carcinoma, Medullary	1590
Torticollis	1590
Spasms, Infantile	1587
Pyloric Stenosis	1585
Tongue Diseases	1581
Epistaxis	1578
Alopecia Areata	1578
Infant Nutrition Disorders	1578
Cholangitis, Sclerosing	1576
Salivary Gland Diseases	1575
Acidosis, Renal Tubular	1574
Hepatitis, Autoimmune	1569
Tuberculosis, Spinal	1568
Ileal Neoplasms	1565
Enterovirus Infections	1564
Bronchial Fistula	1564
Prader-Willi Syndrome	1564
Telangiectasis	1564
Ehlers-Danlos Syndrome	1562
Vaginitis	1560
Mediastinal Emphysema	1557
Fasciitis	1554
Arteriosclerosis Obliterans	1539
Eye Foreign Bodies	1539
HTLV-I Infections	1538
Giant Cell Tumors	1538
Pleural Effusion, Malignant	1538
Telangiectasia, Hereditary Hemorrhagic	1537
Altitude Sickness	1534
Alkalosis	1532
Schizophrenia, Paranoid	1532
Methemoglobinemia	1531
Keratitis, Dendritic	1530
Sinus Thrombosis, Intracranial	1530
Insulin Resistance	1530
Jaw Neoplasms	1529
Cartilage Diseases	1528
Paresthesia	1528
Otosclerosis	1527
Restless Legs Syndrome	1527
Melanosis	1525
Spondylitis	1520
Diffuse Cerebral Sclerosis of Schilder	1520
Tricuspid Valve Insufficiency	1517
Leukoencephalopathy, Progressive Multifocal	1515
Laryngitis	1515
Acidosis, Lactic	1512
Arthralgia	1509
Bile Duct Diseases	1509
Neoplasms, Unknown Primary	1508
Wounds, Stab	1507
Glomerulonephritis, Membranous	1505
Neurotoxicity Syndromes	1504
Retroperitoneal Fibrosis	1500
Hemangiopericytoma	1499
Meningomyelocele	1497
Urinary Retention	1495
Postoperative Hemorrhage	1494
Aneurysm, Infected	1493
Common Bile Duct Neoplasms	1492
Mastocytosis	1489
Necrosis	1489
Mumps	1486
Neurofibroma	1484
Depression, Postpartum	1483
Hyperbilirubinemia	1483
Leukemia, T-Cell	1479
Iron Overload	1477
Fetal Hypoxia	1475
Thrombocythemia, Essential	1473
Hip Dislocation	1473
Tuberculosis, Multidrug-Resistant	1472
Skin Diseases, Bacterial	1471
Onychomycosis	1471
Cerebral Ventricle Neoplasms	1471
Hair Diseases	1469
Fractures, Stress	1467
Child Development Disorders, Pervasive	1467
Helminthiasis	1465
Pericarditis, Constrictive	1465
Marijuana Abuse	1465
Thrombocytosis	1462
Blood Group Incompatibility	1461
Paresis	1460
Cumulative Trauma Disorders	1460
Biliary Fistula	1459
Bronchopulmonary Dysplasia	1457
Retinal Perforations	1457
Chylothorax	1455
Neuroleptic Malignant Syndrome	1455
Gangrene	1455
Viremia	1454
Spinal Osteophytosis	1454
Brain Infarction	1454
Encephalitis, Viral	1453
Pulmonary Eosinophilia	1453
Conjunctival Diseases	1453
Epidermolysis Bullosa	1453
Decompression Sickness	1451
Urogenital Neoplasms	1450
Retroviridae Infections	1449
Giant Lymph Node Hyperplasia	1449
Craniopharyngioma	1448
Sigmoid Neoplasms	1446
Prostatic Diseases	1441
Immune Complex Diseases	1441
Dermatitis Herpetiformis	1438
Sarcoma, Synovial	1435
Esophageal Perforation	1433
Leukocytosis	1429
Genital Neoplasms, Male	1428
Vitamin E Deficiency	1426
Q Fever	1425
Carcinosarcoma	1425
Carcinoma, Lobular	1425
Epilepsies, Myoclonic	1424
Polymyalgia Rheumatica	1423
Postpartum Hemorrhage	1423
Vertebrobasilar Insufficiency	1422
Vascular Neoplasms	1421
Prediabetic State	1421
Keratoconus	1419
Meningitis, Pneumococcal	1418
Hemangioendothelioma	1417
Tuberculosis, Miliary	1416
Osteopetrosis	1416
Keloid	1415
Pregnancy, Tubal	1414
Eye Abnormalities	1413
Lymphoma, AIDS-Related	1412
Erythema Nodosum	1411
Retinal Neoplasms	1409
Papilledema	1409
Facies	1409
Blepharoptosis	1407
Leukemia, Monocytic, Acute	1405
Fungemia	1403
Dysentery, Amebic	1403
Menorrhagia	1403
Lactose Intolerance	1402
Intracranial Embolism	1400
Subacute Sclerosing Panencephalitis	1399
Lupus Erythematosus, Discoid	1398
Cluster Headache	1395
Lipid Metabolism, Inborn Errors	1395
Sprains and Strains	1395
Onchocerciasis	1393
Trichomonas Vaginitis	1393
Spinal Stenosis	1391
Contusions	1389
Trophoblastic Neoplasms	1388
Microcephaly	1384
Common Bile Duct Diseases	1383
Blister	1379
Gambling	1379
Intracranial Hemorrhages	1378
Adjustment Disorders	1376
Facial Injuries	1372
Endometrial Hyperplasia	1371
Dissociative Disorders	1370
Hemoperitoneum	1366
Dry Eye Syndromes	1366
Craniosynostoses	1365
Birth Injuries	1364
Carcinoma 256, Walker	1363
Lacrimal Apparatus Diseases	1362
Granuloma, Plasma Cell	1360
Ameloblastoma	1358
Osteoma, Osteoid	1356
Phlebitis	1355
Pancreatitis, Acute Necrotizing	1353
Encephalomyelitis	1353
Eosinophilic Granuloma	1350
Carbohydrate Metabolism, Inborn Errors	1349
Zollinger-Ellison Syndrome	1348
Epilepsy, Generalized	1346
Pancreatic Pseudocyst	1344
Moyamoya Disease	1343
Psychomotor Agitation	1340
Histiocytosis, Non-Langerhans-Cell	1340
Neoplasms, Glandular and Epithelial	1338
Inappropriate ADH Syndrome	1338
Peptic Ulcer Perforation	1335
Optic Atrophy	1334
Uterine Rupture	1333
Xerostomia	1332
Gingival Diseases	1331
Tracheal Neoplasms	1330
Arm Injuries	1328
Fallopian Tube Diseases	1327
Dysmenorrhea	1327
Hemorrhoids	1326
Anuria	1326
Severe Combined Immunodeficiency	1326
Neurosyphilis	1324
Glycogen Storage Disease	1322
Fibrocystic Breast Disease	1322
Empyema	1321
Femoral Neoplasms	1321
Fibrous Dysplasia of Bone	1316
Gynecomastia	1316
Influenza in Birds	1315
Glomerulonephritis, Membranoproliferative	1313
Bronchiolitis	1309
Oligodendroglioma	1307
Seizures, Febrile	1304
Choroid Diseases	1300
Sick Sinus Syndrome	1300
Leukoplakia, Oral	1296
Neoplasms, Muscle Tissue	1288
Combat Disorders	1288
Myelitis	1285
Gait Disorders, Neurologic	1285
Lipomatosis	1285
Cranial Nerve Diseases	1282
Goiter, Nodular	1280
Appendiceal Neoplasms	1277
Surgical Wound Dehiscence	1277
Sigmoid Diseases	1276
Encephalocele	1275
Cerebral Arterial Diseases	1274
Dental Pulp Diseases	1273
Friedreich Ataxia	1272
Myocardial Stunning	1270
Kyphosis	1266
Coccidioidomycosis	1263
von Hippel-Lindau Disease	1256
Eye Burns	1255
Maxillary Diseases	1254
Vaginosis, Bacterial	1250
Rett Syndrome	1249
Trachoma	1245
Intracranial Hypertension	1245
Sarcoma 180	1242
Schizotypal Personality Disorder	1241
Mastitis	1237
Cholesteatoma	1237
Arnold-Chiari Malformation	1236
Adenocarcinoma, Bronchiolo-Alveolar	1235
Conjunctival Neoplasms	1235
Uterine Prolapse	1232
Bezoars	1231
Ganglioneuroma	1230
Superior Vena Cava Syndrome	1230
Brain Diseases, Metabolic	1227
Apraxias	1227
Scabies	1226
Fasciitis, Necrotizing	1224
Priapism	1221
Thromboangiitis Obliterans	1221
Protein-Losing Enteropathies	1220
Chordoma	1219
Babesiosis	1218
Angina Pectoris, Variant	1217
Aortic Arch Syndromes	1217
Erythema Multiforme	1217
Paraganglioma, Extra-Adrenal	1216
Tuberculosis, Cutaneous	1215
Asthma, Exercise-Induced	1213
Multiple Endocrine Neoplasia	1211
Synovial Cyst	1210
Pseudarthrosis	1210
Urinary Fistula	1209
Digestive System Neoplasms	1205
Mediastinitis	1204
Anthrax	1203
Biliary Tract Neoplasms	1201
Spermatic Cord Torsion	1201
Diverticulum, Colon	1201
Polymyositis	1198
Whipple Disease	1194
Urinary Bladder, Overactive	1194
Agoraphobia	1194
Paranoid Disorders	1193
Tuberculosis, Renal	1192
Pyoderma	1190
Tracheoesophageal Fistula	1188
Nasal Obstruction	1188
Torsades de Pointes	1187
Self Mutilation	1187
Anemia, Macrocytic	1184
Diplopia	1183
Lip Neoplasms	1182
Empyema, Pleural	1181
Premature Birth	1180
Malaria, Vivax	1179
Arrhythmia, Sinus	1179
Trisomy	1177
Confusion	1176
Liver Diseases, Parasitic	1175
Fallopian Tube Neoplasms	1174
Eye Infections, Fungal	1173
Vasculitis, Leukocytoclastic, Cutaneous	1172
Acrodermatitis	1172
Acute-Phase Reaction	1171
Otitis Externa	1169
Tachycardia, Atrioventricular Nodal Reentry	1169
Seminoma	1168
Vasospasm, Intracranial	1168
Myosarcoma	1167
Nephrosis, Lipoid	1166
Supranuclear Palsy, Progressive	1164
Odontogenic Cysts	1163
Cystadenocarcinoma	1162
Esophageal Fistula	1162
Carotid Artery Thrombosis	1162
Prolactinoma	1160
Pancytopenia	1160
Osteoma	1159
Short Bowel Syndrome	1158
Anodontia	1158
Palatal Neoplasms	1157
Spondylolisthesis	1157
Polyradiculopathy	1157
Jejunal Neoplasms	1153
Stevens-Johnson Syndrome	1153
Hyperpigmentation	1153
Urethral Neoplasms	1152
Diverticulitis, Colonic	1150
Lactation Disorders	1149
Hernia, Ventral	1147
Keratoderma, Palmoplantar	1146
Hemosiderosis	1144
Hemorrhagic Fever with Renal Syndrome	1142
Venous Thromboembolism	1140
Hernia, Hiatal	1140
Adenocarcinoma, Follicular	1138
Thiamine Deficiency	1138
Tooth Discoloration	1136
Keratoconjunctivitis	1136
Dermatitis, Exfoliative	1136
Bronchiolitis Obliterans	1134
Botulism	1132
Ventricular Outflow Obstruction	1132
Corneal Opacity	1129
Soft Tissue Infections	1128
Electric Injuries	1127
Affective Disorders, Psychotic	1127
Adenocarcinoma, Clear Cell	1126
Hypertension, Malignant	1126
Spinocerebellar Degenerations	1125
Cat-Scratch Disease	1124
Osteitis	1124
Renal Insufficiency, Chronic	1123
Lewy Body Disease	1121
Rosacea	1120
Nephrosis	1118
Fascioliasis	1116
Pneumoperitoneum	1115
Lymphocytosis	1114
Bacteroides Infections	1113
Bursitis	1113
Lymphoma, Mantle-Cell	1112
Protozoan Infections	1107
Neuronal Ceroid-Lipofuscinoses	1107
Maxillofacial Injuries	1106
Neoplasm, Residual	1104
Hearing Loss, Sudden	1102
Dwarfism, Pituitary	1101
Bronchopulmonary Sequestration	1100
Chorioretinitis	1099
Blast Injuries	1095
Tuberculosis, Female Genital	1094
Glaucoma, Angle-Closure	1094
Lameness, Animal	1094
Reye Syndrome	1092
Retinal Artery Occlusion	1092
Paraphilias	1092
Muscle Neoplasms	1089
Breast Neoplasms, Male	1087
Kwashiorkor	1087
Foot-and-Mouth Disease	1086
Intestinal Pseudo-Obstruction	1086
Mycetoma	1084
Leprosy, Lepromatous	1083
Hemianopsia	1083
Churg-Strauss Syndrome	1081
Rectal Fistula	1079
Galactosemias	1079
Otitis Media, Suppurative	1075
Adrenoleukodystrophy	1075
Puerperal Infection	1074
Facial Asymmetry	1074
Lymphopenia	1073
Chagas Cardiomyopathy	1071
Chondrocalcinosis	1071
Gastritis, Atrophic	1071
Hearing Loss, Conductive	1069
Anti-Glomerular Basement Membrane Disease	1068
Meningocele	1065
Blastomycosis	1063
Acute Lung Injury	1062
Periodontal Pocket	1061
Clubfoot	1060
Disorders of Excessive Somnolence	1059
Lupus Erythematosus, Cutaneous	1059
Mucopolysaccharidoses	1058
Red-Cell Aplasia, Pure	1057
Diabetic Coma	1057
Meningitis, Aseptic	1056
Tooth Erosion	1056
Gas Gangrene	1054
Acinetobacter Infections	1053
Shoulder Pain	1053
Granuloma, Foreign-Body	1053
Hyaline Membrane Disease	1051
Leg Dermatoses	1051
Focal Infection, Dental	1050
Malocclusion, Angle Class III	1050
Agnosia	1050
Vascular Fistula	1050
Glomus Tumor	1048
Dermatitis, Seborrheic	1048
Paratuberculosis	1047
Pancreatitis, Chronic	1042
Subcutaneous Emphysema	1042
Fractures, Closed	1042
Paraparesis, Tropical Spastic	1039
Fractures, Ununited	1039
Carcinoma, Merkel Cell	1037
Aspergillosis, Allergic Bronchopulmonary	1036
Meningitis, Viral	1036
Angiomyolipoma	1036
Transsexualism	1036
Unconsciousness	1034
Catatonia	1033
Psychoses, Alcoholic	1033
Leydig Cell Tumor	1032
Nephritis, Hereditary	1027
Tonsillar Neoplasms	1025
Mediastinal Cyst	1022
Iris Diseases	1022
Granuloma, Giant Cell	1021
Cecal Neoplasms	1018
Carcinoma, Neuroendocrine	1014
Eye Injuries, Penetrating	1014
Spherocytosis, Hereditary	1013
Hypernatremia	1013
Pregnancy Complications, Parasitic	1012
Folliculitis	1011
Anencephaly	1010
Root Resorption	1008
Arachnidism	1008
Hernia, Umbilical	1006
Gingival Neoplasms	1005
Blast Crisis	1004
Retinal Neovascularization	1003
Adenovirus Infections, Human	1001
Smallpox	1001
Hypopharyngeal Neoplasms	1000
Cystadenocarcinoma, Serous	999
Sickle Cell Trait	999
Hysteria	998
Hydrops Fetalis	997
Myiasis	996
Situs Inversus	995
Tenosynovitis	994
Niemann-Pick Diseases	994
Anemia, Hemolytic, Congenital	994
Myositis Ossificans	993
Tuberculosis, Pleural	989
Osteoarthropathy, Secondary Hypertrophic	989
Carcinoma, Endometrioid	988
Alcohol-Related Disorders	988
Mitochondrial Myopathies	987
Cystitis, Interstitial	987
Megacolon	986
Tularemia	983
Coccidiosis	982
Pulpitis	982
Tooth Abrasion	982
Pasteurella Infections	981
Discitis	981
Hypereosinophilic Syndrome	981
Common Variable Immunodeficiency	980
Extravasation of Diagnostic and Therapeutic Materials	980
Urethral Stricture	976
Impulse Control Disorders	976
Elephantiasis, Filarial	973
Tuberculoma	972
Pyoderma Gangrenosum	972
Gastric Fistula	971
Chorioamnionitis	971
Conversion Disorder	971
Hyperhidrosis	969
Gliosis	968
Pneumatosis Cystoides Intestinalis	966
Toxoplasmosis, Congenital	964
Androgen-Insensitivity Syndrome	962
Vitamin B 6 Deficiency	961
Paracoccidioidomycosis	959
Hemothorax	959
Dysgammaglobulinemia	959
Plaque, Amyloid	959
Endocarditis, Subacute Bacterial	958
Neuroma	958
Heart Rupture	958
Hypophosphatemia, Familial	957
Parotid Diseases	956
Darier Disease	956
Endometritis	955
Achondroplasia	954
Tissue Adhesions	954
Fibrosis	953
Uterine Cervicitis	952
Arachnoid Cysts	950
Lacrimal Duct Obstruction	949
Pulmonary Alveolar Proteinosis	944
Bronchopneumonia	943
Cerebrospinal Fluid Rhinorrhea	943
Thoracic Outlet Syndrome	942
Granulosa Cell Tumor	941
alpha-Thalassemia	940
Spinocerebellar Ataxias	939
Schistosomiasis haematobia	938
Bartter Syndrome	938
Headache Disorders	936
Cardiovascular Abnormalities	936
Malaria, Cerebral	935
Lymphocytic Choriomeningitis	934
Postgastrectomy Syndromes	934
Abdominal Abscess	933
Tuberculosis, Urogenital	932
Spina Bifida Occulta	932
Intracranial Thrombosis	931
AIDS-Related Complex	929
Lichen Planus, Oral	929
Lung Diseases, Parasitic	928
Syncope, Vasovagal	928
Orchitis	928
Mixed Connective Tissue Disease	925
Cytomegalovirus Retinitis	924
Amphetamine-Related Disorders	924
Trichomonas Infections	922
Milk Hypersensitivity	922
Echinococcosis, Pulmonary	921
Biliary Atresia	920
Polyomavirus Infections	918
Acid-Base Imbalance	917
Zoonoses	914
Maxillary Sinusitis	914
Hepatomegaly	913
Jaundice, Obstructive	913
Hypothalamic Diseases	911
Leukemia P388	904
Motor Skills Disorders	903
Pseudoxanthoma Elasticum	902
Anemia, Sideroblastic	902
Neck Injuries	902
Multiple System Atrophy	901
Cadmium Poisoning	900
Osteosclerosis	899
Heart Septal Defects	899
Pseudopseudohypoparathyroidism	897
Melioidosis	896
Meningitis, Haemophilus	895
Respirovirus Infections	895
Trypanosomiasis	894
Rickettsia Infections	893
Esotropia	893
Neuroectodermal Tumors, Primitive, Peripheral	891
Horner Syndrome	891
Urinary Bladder Calculi	891
Hand Deformities, Congenital	890
Vibrio Infections	888
Paramyxoviridae Infections	888
DiGeorge Syndrome	887
Mesenchymoma	885
Epididymitis	885
Encephalitis, Tick-Borne	884
Anovulation	884
Toothache	883
Muscle Hypotonia	882
Dupuytren Contracture	881
Keratoacanthoma	881
Afibrinogenemia	875
Mushroom Poisoning	875
Dentin Sensitivity	873
Salpingitis	867
Plague	866
Abortion, Threatened	866
Leukemia, Myelomonocytic, Acute	864
Peutz-Jeghers Syndrome	864
Craniofacial Dysostosis	863
Peritonitis, Tuberculous	862
Hydrocephalus, Normal Pressure	861
Child Nutrition Disorders	861
Proctitis	860
Neuroectodermal Tumors, Primitive	859
Hepatitis, Alcoholic	859
Dystonic Disorders	859
Immunoblastic Lymphadenopathy	859
Subclavian Steal Syndrome	858
Periapical Periodontitis	857
Syphilis, Congenital	856
Gingival Hyperplasia	855
Toxoplasmosis, Ocular	854
Catalepsy	852
Ovarian Hyperstimulation Syndrome	852
Paget Disease, Extramammary	851
Cutaneous Fistula	850
Lymphoma, Large-Cell, Anaplastic	849
Neurocysticercosis	847
Polychondritis, Relapsing	846
Urinary Bladder Fistula	843
Aggressive Periodontitis	842
Williams Syndrome	842
Kidney Tubular Necrosis, Acute	842
Hepatitis, Viral, Animal	841
Diverticulitis	840
Urethral Obstruction	837
Metrorrhagia	837
Noonan Syndrome	836
Rib Fractures	835
Maxillary Sinus Neoplasms	833
Fibromuscular Dysplasia	832
Epilepsy, Complex Partial	831
Conduct Disorder	830
Theileriasis	829
Sezary Syndrome	829
Adenoma, Oxyphilic	826
Placenta Previa	826
Takotsubo Cardiomyopathy	825
Congenital Hypothyroidism	824
Multiple Sclerosis, Chronic Progressive	823
Laryngostenosis	822
Dental Occlusion, Traumatic	821
Tetany	821
Adenoma, Bile Duct	819
Legg-Perthes Disease	819
Epiphyses, Slipped	818
Skin Diseases, Vascular	818
Nerve Sheath Neoplasms	816
Exocrine Pancreatic Insufficiency	815
Consciousness Disorders	815
Munchausen Syndrome	815
West Nile Fever	813
Endomyocardial Fibrosis	812
Glycogen Storage Disease Type I	812
Lip Diseases	810
Dysarthria	810
Multiple Endocrine Neoplasia Type 1	809
Central Nervous System Vascular Malformations	809
Mucopolysaccharidosis I	809
Mastoiditis	808
Pseudohypoparathyroidism	807
Esophageal Motility Disorders	807
Respiratory Paralysis	807
Marek Disease	806
Attention Deficit and Disruptive Behavior Disorders	806
Enterocolitis	803
Homocystinuria	803
Bruxism	802
Aphasia, Broca	802
Scotoma	802
Hookworm Infections	800
Werner Syndrome	800
Factitious Disorders	799
Coloboma	797
Tension-Type Headache	796
Sciatic Neuropathy	795
Frostbite	794
Granular Cell Tumor	793
Chromosome Disorders	793
Bovine Virus Diarrhea-Mucosal Disease	792
Pneumocephalus	792
Muscle Cramp	791
Alcohol Withdrawal Delirium	791
Adrenocortical Hyperfunction	791
Burns, Electric	791
Neoplastic Syndromes, Hereditary	790
Optic Neuropathy, Ischemic	790
Proteus Infections	789
Hepatitis, Animal	789
Latex Hypersensitivity	789
Bowen's Disease	788
Meningitis, Cryptococcal	787
Esophageal Atresia	786
Fractures, Open	786
Hepatitis D	785
Hypospadias	785
Phyllodes Tumor	784
Fissure in Ano	784
Tooth Avulsion	784
Hyperplasia	784
Keratitis, Herpetic	783
HELLP Syndrome	783
Pterygium	781
Female Urogenital Diseases	781
Orbital Fractures	781
Leukemia, Radiation-Induced	780
Malignant Carcinoid Syndrome	780
Wernicke Encephalopathy	780
Galactorrhea	779
Hemarthrosis	778
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	777
Microphthalmos	777
Nervous System Neoplasms	775
Duodenitis	775
