	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
712	Cryptococcosis	3342	D003453
713	Diabetes Insipidus	3342	D003919
714	Eczema	3342	D004485
715	Carpal Tunnel Syndrome	3340	D002349
716	Pain, Intractable	3332	D010148
717	Lymphoma, T-Cell	3317	D016399
718	Parathyroid Neoplasms	3314	D010282
719	Mucocutaneous Lymph Node Syndrome	3307	D009080
720	Pruritus	3305	D011537
721	Goiter	3303	D006042
722	Erythroblastosis, Fetal	3300	D004899
723	Mandibular Diseases	3290	D008336
724	Hallucinations	3288	D006212
725	Skull Fractures	3275	D012887
726	Metabolic Diseases	3268	D008659
727	Vesico-Ureteral Reflux	3264	D014718
728	Pharyngitis	3263	D010612
729	Paraneoplastic Syndromes	3261	D010257
730	Amnesia	3260	D000647
731	Foreign-Body Migration	3245	D005548
732	Heart Septal Defects, Ventricular	3244	D006345
733	Sudden Infant Death	3221	D013398
734	Rectal Diseases	3216	D012002
735	Hyperalgesia	3212	D006930
736	Paranasal Sinus Neoplasms	3205	D010255
737	Tetanus	3203	D013742
738	Skin Ulcer	3203	D012883
739	Asphyxia Neonatorum	3199	D001238
740	Hypokalemia	3190	D007008
741	Anemia, Hemolytic, Autoimmune	3181	D000744
742	Pericardial Effusion	3170	D010490
743	Erythema	3159	D004890
744	Cystitis	3155	D003556
745	Amblyopia	3142	D000550
746	Hepatolenticular Degeneration	3127	D006527
747	Laryngeal Diseases	3126	D007818
748	Dehydration	3122	D003681
749	Chickenpox	3117	D002644
750	Heart Aneurysm	3114	D006322
751	Salmonella Infections, Animal	3111	D012481
752	Neurocirculatory Asthenia	3108	D009449
753	Wound Infection	3105	D014946
754	Histiocytosis, Langerhans-Cell	3101	D006646
755	Vitamin D Deficiency	3100	D014808
756	Hemangiosarcoma	3096	D006394
757	Cryptorchidism	3094	D003456
758	Cerebellar Diseases	3093	D002526
759	Neoplasms, Hormone-Dependent	3090	D009376
760	Dermatitis	3086	D003872
761	Keratosis	3073	D007642
762	Gingivitis	3067	D005891
763	Esophageal Stenosis	3064	D004940
764	Endophthalmitis	3060	D009877
765	Hepatitis, Chronic	3057	D006521
766	Multiple Organ Failure	3052	D009102
767	Fatigue Syndrome, Chronic	3041	D015673
768	Tendon Injuries	3039	D013708
769	Acute Coronary Syndrome	3038	D054058
770	Coronary Thrombosis	3031	D003328
771	Tuberculosis, Meningeal	3027	D014390
772	Schistosomiasis mansoni	3026	D012555
773	Obesity, Morbid	3025	D009767
774	Raynaud Disease	3020	D011928
775	Hypopituitarism	3010	D007018
776	Nephritis	3008	D009393
777	Tuberous Sclerosis	3006	D014402
778	Hyperinsulinism	3003	D006946
779	Language Disorders	3002	D007806
780	Cardiac Output, Low	2998	D002303
781	Photosensitivity Disorders	2998	D010787
782	Myotonic Dystrophy	2994	D009223
783	Muscle Weakness	2991	D018908
784	Purpura, Thrombocytopenic, Idiopathic	2985	D016553
785	Disorders of Sex Development	2980	D012734
786	Tonsillitis	2979	D014069
787	Meniere Disease	2975	D008575
788	Cellulitis	2974	D002481
789	Urinary Bladder, Neurogenic	2973	D001750
790	Hemangioma, Cavernous	2970	D006392
791	Jaundice, Neonatal	2970	D007567
792	Orbital Diseases	2966	D009916
793	Dysentery, Bacillary	2956	D004405
794	Prosthesis-Related Infections	2955	D016459
795	Listeriosis	2954	D008088
796	Sarcoma, Ewing's	2952	D012512
797	Antisocial Personality Disorder	2951	D000987
798	Skull Neoplasms	2948	D012888
799	Cocaine-Related Disorders	2948	D019970
800	Anemia, Iron-Deficiency	2946	D018798
801	Heroin Dependence	2943	D006556
802	Polyarteritis Nodosa	2941	D010488
803	Intestinal Diseases, Parasitic	2938	D007411
804	Perceptual Disorders	2936	D010468
805	Li-Fraumeni Syndrome	2933	D016864
806	Aortic Coarctation	2930	D001017
807	Uterine Diseases	2924	D014591
808	Adrenal Hyperplasia, Congenital	2920	D000312
809	Ileal Diseases	2918	D007077
810	Borderline Personality Disorder	2915	D001883
811	Tobacco Use Disorder	2914	D014029
812	Ossification, Heterotopic	2897	D009999
813	Osteitis Deformans	2892	D010001
814	Pulmonary Heart Disease	2882	D011660
815	Ureteral Calculi	2871	D014514
816	Polycystic Kidney Diseases	2868	D007690
817	Ductus Arteriosus, Patent	2867	D004374
818	Aortic Rupture	2866	D001019
819	Agammaglobulinemia	2865	D000361
820	Primary Myelofibrosis	2865	D055728
821	Community-Acquired Infections	2864	D017714
822	Abortion, Habitual	2864	D000026
823	Hemolytic-Uremic Syndrome	2861	D006463
824	Choriocarcinoma	2848	D002822
825	Cardiac Tamponade	2840	D002305
826	Spinal Injuries	2840	D013124
827	Temporomandibular Joint Dysfunction Syndrome	2839	D013706
828	Infarction	2838	D007238
829	Pharyngeal Neoplasms	2831	D010610
830	Rhabdomyolysis	2828	D012206
831	Nephritis, Interstitial	2827	D009395
832	Bacteriuria	2815	D001437
833	Collagen Diseases	2807	D003095
834	Intermittent Claudication	2806	D007383
835	Otitis Media with Effusion	2801	D010034
836	Tinnitus	2798	D014012
837	Facial Neoplasms	2797	D005153
838	Hematoma, Subdural	2789	D006408
839	Silicosis	2785	D012829
840	Polycythemia Vera	2784	D011087
841	Bone Diseases, Metabolic	2771	D001851
842	Opioid-Related Disorders	2763	D009293
843	Burns, Chemical	2762	D002057
844	Creutzfeldt-Jakob Syndrome	2760	D007562
845	Fragile X Syndrome	2756	D005600
846	von Willebrand Diseases	2756	D014842
847	Prostatitis	2754	D011472
848	Epstein-Barr Virus Infections	2751	D020031
849	Osteonecrosis	2748	D010020
850	Leukemia L1210	2747	D007939
851	Medulloblastoma	2747	D008527
852	Liver Cirrhosis, Alcoholic	2745	D008104
853	Uterine Hemorrhage	2743	D014592
854	Pelvic Neoplasms	2740	D010386
855	Embolism, Air	2735	D004618
856	Lichen Planus	2735	D008010
857	Hip Dislocation, Congenital	2731	D006618
858	Diabetes, Gestational	2728	D016640
859	Meningoencephalitis	2725	D008590
860	Neural Tube Defects	2725	D009436
861	Gallbladder Diseases	2723	D005705
862	Diseases in Twins	2719	D004200
863	Myeloproliferative Disorders	2713	D009196
864	Rubella	2711	D012409
865	Optic Neuritis	2711	D009902
866	Mycosis Fungoides	2710	D009182
867	Adenoma, Islet Cell	2707	D007516
868	Respiration Disorders	2703	D012120
869	Parkinsonian Disorders	2702	D020734
870	Tachycardia, Supraventricular	2702	D013617
871	Dwarfism	2700	D004392
872	Fecal Incontinence	2698	D005242
873	Mycobacterium Infections, Atypical	2696	D009165
874	Myoclonus	2688	D009207
875	Ear Diseases	2684	D004427
876	Intestinal Polyps	2683	D007417
877	Dysgerminoma	2681	D004407
878	Synovitis	2676	D013585
879	Heart Injuries	2676	D006335
880	Delirium	2675	D003693
881	Enteritis	2670	D004751
882	Marfan Syndrome	2664	D008382
883	Diabetic Ketoacidosis	2658	D016883
884	Venous Insufficiency	2657	D014689
885	Pneumoconiosis	2654	D011009
886	Nystagmus, Pathologic	2654	D009759
887	Urinary Incontinence, Stress	2649	D014550
888	Apnea	2645	D001049
889	Enterobacteriaceae Infections	2640	D004756
890	Eyelid Diseases	2637	D005141
891	Polyradiculoneuropathy	2636	D011129
892	Duodenal Neoplasms	2634	D004379
893	Leukemia, Erythroblastic, Acute	2632	D004915
894	Shock, Cardiogenic	2629	D012770
895	Lupus Nephritis	2620	D008181
896	Colonic Polyps	2620	D003111
897	Paraproteinemias	2619	D010265
898	Campylobacter Infections	2616	D002169
899	Choroid Neoplasms	2612	D002830
900	Neoplasm Invasiveness	2608	D009361
901	Endocarditis	2606	D004696
902	Diabetic Foot	2601	D017719
903	Muscle Spasticity	2593	D009128
904	Histoplasmosis	2590	D006660
905	Wolff-Parkinson-White Syndrome	2585	D014927
906	Diabetes Complications	2585	D048909
907	Hearing Loss, Noise-Induced	2576	D006317
908	Pressure Ulcer	2573	D003668
909	Purpura, Thrombotic Thrombocytopenic	2572	D011697
910	Chondrosarcoma	2555	D002813
911	Lymphoma, Follicular	2551	D008224
912	Thoracic Neoplasms	2550	D013899
913	Leishmaniasis, Cutaneous	2548	D016773
914	Pleural Diseases	2543	D010995
915	Genital Diseases, Male	2542	D005832
916	Sexual Dysfunctions, Psychological	2540	D020018
917	Quadriplegia	2533	D011782
918	Colonic Diseases, Functional	2531	D003109
919	Bone Diseases, Developmental	2523	D001848
920	Polyneuropathies	2506	D011115
921	Haemophilus Infections	2504	D006192
922	Voice Disorders	2504	D014832
923	Adrenal Cortex Neoplasms	2500	D000306
924	Maxillary Neoplasms	2497	D008441
925	Aneurysm, Ruptured	2497	D017542
926	Monkey Diseases	2496	D008992
927	Skin Diseases, Infectious	2494	D012874
928	Tourette Syndrome	2494	D005879
929	Angioedema	2489	D000799
930	Hypocalcemia	2488	D006996
931	Polycythemia	2485	D011086
932	Malocclusion, Angle Class II	2479	D008312
933	Ulcer	2478	D014456
934	Gaucher Disease	2470	D005776
935	Death, Sudden, Cardiac	2468	D016757
936	Vitamin B 12 Deficiency	2466	D014806
937	Adrenal Gland Diseases	2466	D000307
938	Thrombophilia	2465	D019851
939	Osteochondrodysplasias	2464	D010009
940	Basal Ganglia Diseases	2464	D001480
941	Kidney Diseases, Cystic	2459	D052177
942	Vitiligo	2459	D014820
943	Actinomycosis	2458	D000196
944	Oligospermia	2457	D009845
945	Parkinson Disease, Secondary	2451	D010302
946	Meningococcal Infections	2450	D008589
947	Connective Tissue Diseases	2443	D003240
948	Eye Infections, Bacterial	2440	D015818
949	Purpura, Schoenlein-Henoch	2434	D011695
950	Language Development Disorders	2428	D007805
951	Adenomatous Polyposis Coli	2427	D011125
952	Tuberculosis, Osteoarticular	2426	D014394
953	Mitral Valve Prolapse	2423	D008945
954	Anemia, Pernicious	2417	D000752
955	Hypotension, Orthostatic	2413	D007024
956	Esophageal Achalasia	2410	D004931
957	Orthomyxoviridae Infections	2402	D009976
958	Bites and Stings	2401	D001733
959	Starvation	2399	D013217
960	Liver Diseases, Alcoholic	2396	D008108
961	Trigeminal Neuralgia	2392	D014277
962	Ovarian Diseases	2391	D010049
963	Waldenstrom Macroglobulinemia	2388	D008258
964	Nail Diseases	2388	D009260
965	Menstruation Disturbances	2388	D008599
966	Refractive Errors	2387	D012030
967	Filariasis	2383	D005368
968	Sex Chromosome Aberrations	2380	D012729
969	Hyperkalemia	2370	D006947
970	Lymphoma, B-Cell, Marginal Zone	2367	D018442
971	Parotitis	2367	D010309
972	Cholangiocarcinoma	2366	D018281
973	Ear Neoplasms	2359	D004428
974	Fanconi Syndrome	2355	D005198
975	Anus Neoplasms	2342	D001005
976	Hypertrichosis	2338	D006983
977	Adrenal Insufficiency	2337	D000309
978	Mycoplasma Infections	2334	D009175
979	Echinococcosis, Hepatic	2332	D004444
980	Tachycardia, Paroxysmal	2332	D013614
981	Muscular Dystrophy, Animal	2330	D009137
982	Hip Fractures	2330	D006620
983	Central Nervous System Neoplasms	2329	D016543
984	Femur Head Necrosis	2329	D005271
985	Esophagitis	2328	D004941
986	Leukemia-Lymphoma, Adult T-Cell	2325	D015459
987	Glomerulosclerosis, Focal Segmental	2318	D005923
988	Carcinoma, Adenoid Cystic	2315	D003528
989	Bone Marrow Diseases	2314	D001855
990	Osteogenesis Imperfecta	2310	D010013
991	Liver Cirrhosis, Experimental	2309	D008106
992	Bronchiectasis	2309	D001987
993	Leukemia, Hairy Cell	2306	D007943
994	Psychoses, Substance-Induced	2304	D011605
995	Leishmaniasis	2301	D007896
996	Ataxia	2297	D001259
997	Aortic Aneurysm, Thoracic	2296	D017545
998	Enuresis	2295	D004775
999	Carbon Monoxide Poisoning	2293	D002249
1000	Choroidal Neovascularization	2290	D020256
1001	Atrial Flutter	2272	D001282
1002	Nasal Polyps	2271	D009298
1003	Liver Abscess	2266	D008100
1004	Foot Dermatoses	2262	D005533
1005	Leg Injuries	2260	D007869
1006	Pelvic Infection	2259	D034161
1007	Condylomata Acuminata	2252	D003218
1008	Cholestasis, Intrahepatic	2251	D002780
1009	Xanthomatosis	2251	D014973
1010	Coronary Vasospasm	2250	D003329
1011	Glucose Intolerance	2245	D018149
1012	Whooping Cough	2243	D014917
1013	Irritable Bowel Syndrome	2242	D043183
1014	Facial Pain	2240	D005157
1015	Peptic Ulcer Hemorrhage	2238	D010438
1016	Hemoptysis	2231	D006469
1017	Rickets	2230	D012279
1018	Peripheral Nervous System Neoplasms	2224	D010524
1019	Compartment Syndromes	2222	D003161
1020	Intracranial Arteriosclerosis	2219	D002537
1021	Tuberculosis, Lymph Node	2214	D014388
1022	Dementia, Vascular	2209	D015140
1023	Urethritis	2207	D014526
1024	Hand Injuries	2206	D006230
1025	Puberty, Precocious	2202	D011629
1026	Lymphangioma	2199	D008202
1027	Osteochondritis	2197	D010007
1028	Ocular Hypertension	2197	D009798
1029	Critical Illness	2194	D016638
1030	Malignant Hyperthermia	2193	D008305
1031	Neuroma, Acoustic	2189	D009464
1032	Protein Deficiency	2188	D011488
1033	Conjunctivitis	2185	D003231
1034	Disease	2183	D004194
1035	Hydatidiform Mole	2182	D006828
1036	Premenstrual Syndrome	2181	D011293
1037	Ovarian Cysts	2180	D010048
1038	Pelvic Inflammatory Disease	2178	D000292
1039	Legionnaires' Disease	2177	D007877
1040	Dengue	2177	D003715
1041	Cholera	2171	D002771
1042	Motor Neuron Disease	2169	D016472
1043	Snake Bites	2169	D012909
1044	Cholangitis	2162	D002761
1045	Hernia, Inguinal	2162	D006552
1046	Hypertriglyceridemia	2149	D015228
1047	Fractures, Spontaneous	2144	D005598
1048	Liver Failure	2143	D017093
1049	Gastrointestinal Stromal Tumors	2140	D046152
1050	Spasm	2138	D013035
1051	Gastric Outlet Obstruction	2134	D017219
1052	Klebsiella Infections	2124	D007710
1053	Vaginal Neoplasms	2123	D014625
1054	Magnesium Deficiency	2122	D008275
1055	Penile Neoplasms	2119	D010412
1056	Addison Disease	2119	D000224
1057	Neuroendocrine Tumors	2117	D018358
1058	Insect Bites and Stings	2114	D007299
1059	Peritoneal Diseases	2113	D010532
1060	Esophagitis, Peptic	2108	D004942
1061	Cerebellar Ataxia	2108	D002524
1062	Corneal Ulcer	2106	D003320
1063	Chorea	2104	D002819
1064	Ureteral Diseases	2104	D014515
1065	Infarction, Middle Cerebral Artery	2103	D020244
1066	Hypoxia-Ischemia, Brain	2102	D020925
1067	Testicular Diseases	2102	D013733
1068	Vocal Cord Paralysis	2101	D014826
1069	Respiratory Syncytial Virus Infections	2100	D018357
1070	Multiple Sclerosis, Relapsing-Remitting	2100	D020529
1071	Hyperparathyroidism, Secondary	2094	D006962
1072	Osteomalacia	2090	D010018
1073	Placenta Diseases	2089	D010922
1074	Trichinellosis	2086	D014235
1075	Reflex Sympathetic Dystrophy	2085	D012019
1076	Glucosephosphate Dehydrogenase Deficiency	2085	D005955
1077	Vitamin A Deficiency	2078	D014802
1078	Nose Diseases	2074	D009668
1079	Coronary Restenosis	2072	D023903
1080	Stomatitis	2068	D013280
1081	Jaw Diseases	2064	D007571
1082	Pneumonia, Viral	2062	D011024
1083	Spinal Dysraphism	2058	D016135
1084	Herpes Genitalis	2055	D006558
1085	Trypanosomiasis, African	2055	D014353
1086	Pharyngeal Diseases	2048	D010608
1087	Radius Fractures	2045	D011885
1088	Lymphadenitis	2041	D008199
1089	Ascariasis	2040	D001196
1090	Arthritis, Reactive	2038	D016918
1091	Liver Failure, Acute	2037	D017114
1092	Purpura	2035	D011693
1093	Tinea	2031	D014005
1094	Tooth Fractures	2026	D014082
1095	Epidermal Cyst	2017	D004814
1096	Toxoplasmosis, Animal	2015	D014124
1097	Splenic Neoplasms	2014	D013160
1098	Systemic Inflammatory Response Syndrome	2011	D018746
1099	Asbestosis	2008	D001195
1100	Stuttering	2006	D013342
1101	Warts	2000	D014860
1102	Sciatica	1998	D012585
1103	Mediastinal Diseases	1997	D008477
1104	Hyperhomocysteinemia	1996	D020138
1105	Mesenteric Vascular Occlusion	1993	D008641
1106	AIDS Dementia Complex	1991	D015526
1107	Colorectal Neoplasms, Hereditary Nonpolyposis	1991	D003123
1108	Brain Concussion	1990	D001924
1109	Giardiasis	1989	D005873
1110	Malnutrition	1989	D044342
1111	Foodborne Diseases	1989	D005517
1112	Endotoxemia	1988	D019446
1113	Splenomegaly	1985	D013163
1114	Labyrinth Diseases	1983	D007759
1115	Tracheal Stenosis	1967	D014135
1116	Tetralogy of Fallot	1967	D013771
1117	Tooth Abnormalities	1966	D014071
1118	Color Vision Defects	1963	D003117
1119	Thyroid Nodule	1961	D016606
1120	Uveal Neoplasms	1961	D014604
1121	Familial Mediterranean Fever	1957	D010505
1122	Thyroiditis	1956	D013966
1123	Dermoid Cyst	1942	D003884
1124	Arthritis, Psoriatic	1942	D015535
1125	Takayasu Arteritis	1942	D013625
1126	Germinoma	1939	D018237
1127	Charcot-Marie-Tooth Disease	1937	D002607
1128	Rotavirus Infections	1932	D012400
1129	Jejunal Diseases	1932	D007579
1130	Scleroderma, Localized	1931	D012594
1131	Pancreatic Cyst	1925	D010181
1132	Hyperventilation	1925	D006985
1133	Dyslipidemias	1920	D050171
1134	Asphyxia	1918	D001237
1135	Fetal Membranes, Premature Rupture	1915	D005322
1136	Hypergammaglobulinemia	1914	D006942
1137	Cysticercosis	1912	D003551
1138	Uterine Cervical Diseases	1912	D002577
1139	Simian Acquired Immunodeficiency Syndrome	1910	D016097
1140	Odontogenic Tumors	1892	D009808
1141	Rabies	1890	D011818
1142	Varicose Ulcer	1887	D014647
1143	Cranial Nerve Neoplasms	1886	D003390
1144	Sweat Gland Neoplasms	1886	D013544
1145	Pseudotumor Cerebri	1885	D011559
1146	Blood Platelet Disorders	1885	D001791
1147	Shock, Traumatic	1879	D012774
1148	Mandibular Fractures	1878	D008337
1149	Ankle Injuries	1876	D016512
1150	Macular Edema	1874	D008269
1151	Agricultural Workers' Diseases	1867	D000382
1152	Hemophilia B	1859	D002836
1153	Osteolysis	1857	D010014
1154	Candidiasis, Oral	1856	D002180
1155	Diphtheria	1852	D004165
1156	Carbon Tetrachloride Poisoning	1851	D002252
1157	Leptospirosis	1849	D007922
1158	Pleurisy	1849	D010998
1159	Pulmonary Valve Stenosis	1847	D011666
1160	Alveolitis, Extrinsic Allergic	1846	D000542
1161	Bronchial Spasm	1840	D001986
1162	Coxsackievirus Infections	1839	D003384
1163	Urethral Diseases	1835	D014522
1164	Mucormycosis	1833	D009091
1165	Pemphigoid, Bullous	1832	D010391
1166	Foreign-Body Reaction	1830	D005549
1167	Exophthalmos	1828	D005094
1168	Tendinopathy	1826	D052256
1169	Fabry Disease	1826	D000795
1170	Paranasal Sinus Diseases	1825	D010254
1171	Retinopathy of Prematurity	1824	D012178
1172	Severe Acute Respiratory Syndrome	1818	D045169
1173	Insulinoma	1818	D007340
1174	Pulmonary Atelectasis	1818	D001261
1175	Ichthyosis	1812	D007057
1176	Hypoparathyroidism	1812	D007011
1177	Solitary Pulmonary Nodule	1811	D003074
1178	Coronary Aneurysm	1808	D003323
1179	Arteritis	1804	D001167
1180	Ureteral Neoplasms	1801	D014516
1181	Muscular Dystrophy, Duchenne	1800	D020388
1182	Retinal Vein Occlusion	1798	D012170
1183	Blood Protein Disorders	1798	D001796
1184	Psychomotor Disorders	1794	D011596
1185	Goat Diseases	1793	D015511
1186	Clostridium Infections	1790	D003015
1187	Shoulder Dislocation	1789	D012783
1188	Lipidoses	1786	D008064
1189	Bone Cysts	1783	D001845
1190	Tooth Diseases	1779	D014076
1191	Hemorrhagic Disorders	1779	D006474
1192	Lung Abscess	1773	D008169
1193	Hemoglobinuria, Paroxysmal	1772	D006457
1194	Calculi	1772	D002137
1195	Pneumonia, Pneumococcal	1770	D011018
1196	Urologic Neoplasms	1770	D014571
1197	Translocation, Genetic	1770	D014178
1198	Lymphoma, T-Cell, Cutaneous	1765	D016410
1199	Ependymoma	1763	D004806
1200	Liposarcoma	1761	D008080
1201	Hernia	1761	D006547
1202	Ectodermal Dysplasia	1756	D004476
1203	Hemoglobinopathies	1754	D006453
1204	Hyperkinesis	1753	D006948
1205	Adenocarcinoma, Papillary	1751	D000231
1206	Cardiac Complexes, Premature	1747	D005117
1207	Pituitary Diseases	1744	D010900
1208	Prion Diseases	1743	D017096
1209	Ventricular Dysfunction, Right	1743	D018497
1210	Angiomatosis	1742	D000798
1211	Klinefelter Syndrome	1741	D007713
1212	Hirsutism	1740	D006628
1213	Cecal Diseases	1738	D002429
1214	Cholestasis, Extrahepatic	1736	D001651
1215	Neuritis	1735	D009443
1216	Wrist Injuries	1735	D014954
1217	Contracture	1734	D003286
1218	Femoral Neck Fractures	1734	D005265
1219	Fetal Alcohol Syndrome	1733	D063647
1220	Liver Abscess, Amebic	1730	D008101
1221	Pneumonia, Mycoplasma	1729	D011019
1222	Nocardia Infections	1728	D009617
1223	Syringomyelia	1728	D013595
1224	Meckel Diverticulum	1725	D008467
1225	Renal Osteodystrophy	1723	D012080
1226	Strongyloidiasis	1722	D013322
1227	Hyperprolactinemia	1721	D006966
1228	Cryoglobulinemia	1721	D003449
1229	Adenoma, Pleomorphic	1720	D008949
1230	Cryptosporidiosis	1719	D003457
1231	Ataxia Telangiectasia	1718	D001260
1232	Whiplash Injuries	1718	D014911
1233	Thoracic Diseases	1717	D013896
1234	Exanthema	1715	D005076
1235	Folic Acid Deficiency	1714	D005494
1236	Sleep Deprivation	1712	D012892
1237	Guillain-Barre Syndrome	1711	D020275
1238	Vulvar Diseases	1710	D014845
1239	Parvoviridae Infections	1707	D010322
1240	Prenatal Exposure Delayed Effects	1703	D011297
1241	Granulomatous Disease, Chronic	1700	D006105
1242	Radiculopathy	1699	D011843
1243	Eclampsia	1696	D004461
1244	Epidermal Necrolysis, Toxic	1696	D013262
1245	Xeroderma Pigmentosum	1695	D014983
1246	Osteoarthritis, Hip	1694	D015207
1247	Humeral Fractures	1694	D006810
1248	Pneumonia, Aspiration	1693	D011015
1249	Epilepsy, Absence	1693	D004832
1250	Varicocele	1692	D014646
1251	Tooth, Impacted	1688	D014095
1252	Deficiency Diseases	1687	D003677
1253	Candidiasis, Vulvovaginal	1684	D002181
1254	Conjunctivitis, Allergic	1684	D003233
1255	Retinitis	1683	D012173
1256	Eyelid Neoplasms	1682	D005142
1257	Penile Diseases	1681	D010409
1258	Vestibular Diseases	1680	D015837
1259	Adenoviridae Infections	1679	D000257
1260	Cystadenoma	1679	D003537
1261	Mammary Neoplasms, Animal	1677	D015674
1262	Scrapie	1677	D012608
1263	Finger Injuries	1671	D005383
1264	Yersinia Infections	1664	D015009
1265	Brain Death	1661	D001926
1266	Budd-Chiari Syndrome	1657	D006502
1267	Urinary Bladder Neck Obstruction	1657	D001748
1268	Retinal Hemorrhage	1655	D012166
1269	Nematode Infections	1653	D009349
1270	Alveolar Bone Loss	1653	D016301
1271	Splenic Rupture	1651	D013161
1272	Mitochondrial Diseases	1647	D028361
1273	Hyperemia	1644	D006940
1274	Corneal Dystrophies, Hereditary	1642	D003317
1275	Fanconi Anemia	1642	D005199
1276	Head Injuries, Closed	1641	D016489
1277	Mercury Poisoning	1640	D008630
1278	Carcinoma, Pancreatic Ductal	1637	D021441
1279	Morphine Dependence	1631	D009021
1280	Paraganglioma	1628	D010235
1281	Abortion, Veterinary	1625	D000034
1282	Hematoma, Epidural, Cranial	1624	D006407
1283	Leukopenia	1624	D007970
1284	Scalp Dermatoses	1624	D012536
1285	Neoplastic Cells, Circulating	1621	D009360
1286	Anus Diseases	1619	D001004
1287	Thyrotoxicosis	1619	D013971
1288	Meningitis, Meningococcal	1618	D008585
1289	Sarcoidosis, Pulmonary	1617	D017565
1290	Vaginal Diseases	1616	D014623
1291	Water-Electrolyte Imbalance	1615	D014883
1292	Astigmatism	1614	D001251
1293	Chondroma	1613	D002812
1294	Stomatitis, Aphthous	1613	D013281
1295	Embolism, Fat	1613	D004620
1296	Epilepsy, Tonic-Clonic	1612	D004830
1297	Tracheal Diseases	1611	D014133
1298	Tuberculosis, Gastrointestinal	1610	D014385
1299	Myxedema	1610	D009230
1300	Muscular Atrophy, Spinal	1609	D009134
1301	Sensation Disorders	1607	D012678
1302	Duodenal Obstruction	1606	D004380
1303	Mucocele	1605	D009078
1304	Transposition of Great Vessels	1605	D014188
1305	Craniofacial Abnormalities	1604	D019465
1306	Uterine Cervical Dysplasia	1603	D002578
1307	Neck Pain	1603	D019547
1308	Ocular Motility Disorders	1602	D015835
1309	Uveitis, Anterior	1602	D014606
1310	Narcolepsy	1600	D009290
1311	Oropharyngeal Neoplasms	1598	D009959
1312	Hyperlipoproteinemias	1598	D006951
1313	Hirschsprung Disease	1596	D006627
1314	Olfaction Disorders	1594	D000857
1315	Lipodystrophy	1592	D008060
1316	Mycobacterium avium-intracellulare Infection	1591	D015270
1317	Polycystic Kidney, Autosomal Dominant	1591	D016891
1318	Carcinoma, Medullary	1590	D018276
1319	Torticollis	1590	D014103
1320	Spasms, Infantile	1587	D013036
1321	Pyloric Stenosis	1585	D011707
1322	Tongue Diseases	1581	D014060
1323	Epistaxis	1578	D004844
1324	Alopecia Areata	1578	D000506
1325	Infant Nutrition Disorders	1578	D007228
1326	Cholangitis, Sclerosing	1576	D015209
1327	Salivary Gland Diseases	1575	D012466
1328	Acidosis, Renal Tubular	1574	D000141
1329	Hepatitis, Autoimmune	1569	D019693
1330	Tuberculosis, Spinal	1568	D014399
1331	Ileal Neoplasms	1565	D007078
1332	Enterovirus Infections	1564	D004769
1333	Bronchial Fistula	1564	D001983
1334	Prader-Willi Syndrome	1564	D011218
1335	Telangiectasis	1564	D013684
1336	Ehlers-Danlos Syndrome	1562	D004535
1337	Vaginitis	1560	D014627
1338	Mediastinal Emphysema	1557	D008478
1339	Fasciitis	1554	D005208
1340	Arteriosclerosis Obliterans	1539	D001162
1341	Eye Foreign Bodies	1539	D005129
1342	HTLV-I Infections	1538	D015490
1343	Giant Cell Tumors	1538	D005870
1344	Pleural Effusion, Malignant	1538	D016066
1345	Telangiectasia, Hereditary Hemorrhagic	1537	D013683
1346	Altitude Sickness	1534	D000532
1347	Alkalosis	1532	D000471
1348	Schizophrenia, Paranoid	1532	D012563
1349	Methemoglobinemia	1531	D008708
1350	Keratitis, Dendritic	1530	D007635
1351	Sinus Thrombosis, Intracranial	1530	D012851
1352	Insulin Resistance	1530	D007333
1353	Jaw Neoplasms	1529	D007573
1354	Cartilage Diseases	1528	D002357
1355	Paresthesia	1528	D010292
1356	Otosclerosis	1527	D010040
1357	Restless Legs Syndrome	1527	D012148
1358	Melanosis	1525	D008548
1359	Spondylitis	1520	D013166
1360	Diffuse Cerebral Sclerosis of Schilder	1520	D002549
1361	Tricuspid Valve Insufficiency	1517	D014262
1362	Leukoencephalopathy, Progressive Multifocal	1515	D007968
1363	Laryngitis	1515	D007827
1364	Acidosis, Lactic	1512	D000140
1365	Arthralgia	1509	D018771
1366	Bile Duct Diseases	1509	D001649
1367	Neoplasms, Unknown Primary	1508	D009382
1368	Wounds, Stab	1507	D014951
1369	Glomerulonephritis, Membranous	1505	D015433
1370	Neurotoxicity Syndromes	1504	D020258
1371	Retroperitoneal Fibrosis	1500	D012185
1372	Hemangiopericytoma	1499	D006393
1373	Meningomyelocele	1497	D008591
1374	Urinary Retention	1495	D016055
1375	Postoperative Hemorrhage	1494	D019106
1376	Aneurysm, Infected	1493	D000785
1377	Common Bile Duct Neoplasms	1492	D003138
1378	Mastocytosis	1489	D008415
1379	Necrosis	1489	D009336
1380	Mumps	1486	D009107
1381	Neurofibroma	1484	D009455
1382	Depression, Postpartum	1483	D019052
1383	Hyperbilirubinemia	1483	D006932
1384	Leukemia, T-Cell	1479	D015458
1385	Iron Overload	1477	D019190
1386	Fetal Hypoxia	1475	D005311
1387	Thrombocythemia, Essential	1473	D013920
1388	Hip Dislocation	1473	D006617
